Ticker,Signal Date,Buy Date,Buy Price,%BelowSMA100_at_Buy,Sell Date,Sell Price,%Gain,Cost_bps,Slippage_bps,Net%Gain,HoldingDays,ExitReason,RSI14_at_Signal,IBS_at_Signal,RV20_at_Signal,Breadth_at_Signal,Slope_at_Signal,Votes_At_Entry
DASH,2022-03-04,2022-03-07,92.730003,40.1884,2022-03-08,85.010002,-8.3252,10,5,-8.6003,1,MACD_DownCross,39.105,0.128,0.99,0.457,-1.118558,3
DAY,2022-03-04,2022-03-07,67.150002,31.9411,2022-03-08,63.57,-5.3314,10,5,-5.6154,1,MACD_DownCross,36.684,0.153,0.543,0.457,-0.417231,3
DECK,2022-03-04,2022-03-07,40.764999,31.2998,2022-04-05,46.025002,12.9032,10,5,12.5645,21,TimeStop,29.125,0.055,0.6,0.457,-0.156971,4
META,2022-03-04,2022-03-07,199.694444,34.1029,2022-04-05,230.575043,15.4639,10,5,15.1175,21,TimeStop,29.632,0.179,0.425,0.457,-1.318455,6
COIN,2022-03-07,2022-03-08,160.100006,37.2951,2022-04-06,166.839996,4.2099,10,5,3.8972,21,ATR_Trailing,35.157,0.071,0.758,0.372,-0.47018,4
MTCH,2022-03-07,2022-03-08,87.079567,32.1844,2022-04-06,102.562134,17.7798,10,5,17.4265,21,TimeStop,26.692,0.003,0.576,0.372,-0.450135,4
NCLH,2022-03-07,2022-03-08,15.43,30.9107,2022-03-30,21.219999,37.5243,10,5,37.1117,16,MARecovery,27.702,0.01,0.77,0.372,-0.06647,4
UAL,2022-03-07,2022-03-08,31.799999,29.7624,2022-03-29,45.669998,43.6163,10,5,43.1855,15,MARecovery,23.912,0.059,0.857,0.372,-0.028776,3
PYPL,2022-03-08,2022-03-09,98.120003,45.1375,2022-04-07,113.040001,15.2059,10,5,14.8603,21,TimeStop,26.176,0.417,0.496,0.358,-1.57663,4
ALGN,2022-03-11,2022-03-14,403.209991,30.197,2022-04-11,409.690002,1.6071,10,5,1.3023,20,MACD_DownCross,30.131,0.018,0.559,0.374,-1.67968,4
DASH,2022-03-11,2022-03-14,84.900002,42.9846,2022-03-14,76.059998,-10.4123,10,5,-10.681,0,MACD_DownCross,40.949,0.059,1.017,0.374,-1.090791,4
DAY,2022-03-11,2022-03-14,61.59,35.668,2022-04-07,62.799999,1.9646,10,5,1.6587,18,MACD_DownCross,32.643,0.02,0.53,0.374,-0.474887,3
NFLX,2022-03-11,2022-03-14,338.720001,37.2438,2022-03-14,331.01001,-2.2762,10,5,-2.5694,0,MACD_DownCross,32.685,0.014,0.453,0.374,-2.399884,4
TTD,2022-03-11,2022-03-14,56.400002,32.0086,2022-04-12,65.839996,16.7376,10,5,16.3874,21,MACD_DownCross,32.042,0.003,0.875,0.374,0.057761,4
EPAM,2022-04-01,2022-04-04,291.470001,40.1372,2022-04-26,264.980011,-9.0884,10,5,-9.3611,15,MACD_DownCross,47.712,0.066,1.239,0.537,-3.866106,5
COIN,2022-04-12,2022-04-13,149.029999,31.5634,2022-04-27,122.550003,-17.7682,10,5,-18.0149,9,ATR_Trailing,34.7,0.034,0.74,0.473,-1.509782,4
PYPL,2022-04-14,2022-04-18,102.050003,30.3251,2022-04-21,89.400002,-12.3959,10,5,-12.6587,3,ATR_Initial,37.016,0.069,0.462,0.487,-1.042378,5
NFLX,2022-04-20,2022-04-21,220.0,51.8577,2022-05-09,173.100006,-21.3182,10,5,-21.5542,12,ATR_Initial,19.959,0.378,1.521,0.529,-3.056565,4
MTCH,2022-04-21,2022-04-22,76.843004,30.9385,2022-05-23,73.797577,-3.9632,10,5,-4.2513,21,TimeStop,28.886,0.105,0.614,0.503,-0.46182,3
META,2022-04-22,2022-04-25,181.732976,30.5582,2022-05-11,187.71022,3.289,10,5,2.9792,12,MACD_DownCross,30.109,0.089,0.457,0.447,-1.18753,3
PYPL,2022-04-22,2022-04-25,85.324997,39.8268,2022-05-06,81.68,-4.2719,10,5,-4.5591,9,MACD_DownCross,27.118,0.012,0.511,0.447,-0.968656,3
EPAM,2022-04-27,2022-04-28,273.679993,35.7858,2022-05-24,308.869995,12.8581,10,5,12.5195,18,MACD_DownCross,42.892,0.377,0.635,0.435,-3.594216,2
ALGN,2022-04-28,2022-04-29,303.329987,39.3084,2022-05-31,277.640015,-8.4693,10,5,-8.7439,21,TimeStop,23.421,0.937,0.713,0.465,-2.612426,3
COIN,2022-04-29,2022-05-02,113.07,42.7905,2022-05-09,83.510002,-26.1431,10,5,-26.3647,5,ATR_Trailing,25.853,0.034,0.579,0.38,-1.739265,5
IDXX,2022-05-06,2022-05-09,362.959991,31.3749,2022-06-08,371.970001,2.4824,10,5,2.1749,21,TimeStop,19.563,0.329,0.454,0.362,-1.480411,5
PLTR,2022-05-06,2022-05-09,7.78,43.1947,2022-06-08,9.18,17.9949,10,5,17.6409,21,TimeStop,32.302,0.095,0.644,0.362,-0.086386,3
TTD,2022-05-06,2022-05-09,47.0,35.3621,2022-06-08,54.709999,16.4043,10,5,16.055,21,TimeStop,33.849,0.069,0.868,0.362,-0.381212,3
AXON,2022-05-09,2022-05-10,92.68,31.2359,2022-06-09,101.040001,9.0203,10,5,8.6932,21,TimeStop,23.119,0.082,0.712,0.32,-0.467717,4
BA,2022-05-09,2022-05-10,136.759995,28.9437,2022-05-24,119.400002,-12.6938,10,5,-12.9557,10,ATR_Initial,22.729,0.046,0.568,0.32,-0.380773,3
CZR,2022-05-09,2022-05-10,54.009998,31.2018,2022-05-24,43.139999,-20.1259,10,5,-20.3655,10,ATR_Initial,26.91,0.058,0.649,0.32,-0.238496,4
DASH,2022-05-09,2022-05-10,67.459999,38.7561,2022-06-09,68.650002,1.764,10,5,1.4587,21,TimeStop,28.056,0.103,0.812,0.32,-0.870208,4
DDOG,2022-05-09,2022-05-10,101.349998,30.1693,2022-06-09,103.639999,2.2595,10,5,1.9527,21,TimeStop,29.707,0.121,0.738,0.32,-0.525709,4
